ORG_CODE,DISTRICT_NAME,SCHOOL,SCHOOL_NAME,COUNTY,School_Total,# of students 7-12th grades,Have Middle or High Schoolers?,% PK - 6th graders,Include in SMITH visualization?
0343,Winchendon,03430515,Murdock High School,Worcester,256,253,Yes,0%,Include
0622,Blackstone-Millville,06220505,Blackstone Millville RHS,Worcester,534,531,Yes,0%,Include
0720,Narragansett,07200505,Narragansett Regional High,Worcester,492,489,Yes,0%,Include
0348,Worcester,03480525,Worcester Alternative High School,Worcester,36,36,Yes,0%,Include
0750,Pioneer Valley,07500505,Pioneer Valley Regional,Franklin,239,236,Yes,0%,Include
0406,Northampton-Smith Vocational Agricultural,04060705,Smith Vocational and Agricultural High,Hampshire,587,587,Yes,0%,Include
0753,Quabbin,07530505,Quabbin Regional High School,Worcester,545,542,Yes,0%,Include
0413,Four Rivers Charter Public (District),04130505,Four Rivers Charter Public School,Franklin,213,213,Yes,0%,Include
0468,Ma Academy for Math and Science,04680505,Ma Academy for Math and Science School,Worcester,99,99,Yes,0%,Include
0474,Sizer School: A North Central Charter Essential (District),04740505,Sizer School: A North Central Charter Essential School,Worcester,282,282,Yes,0%,Include
0479,Pioneer Valley Performing Arts Charter Public (District),04790505,Pioneer Valley Performing Arts Charter Public School,Hampshire,397,397,Yes,0%,Include
0603,Hoosac Valley Regional,06030505,Hoosac Valley High School,Berkshire,296,296,Yes,0%,Include
0605,Amherst-Pelham,06050405,Amherst Regional Middle School,Hampshire,366,366,Yes,0%,Include
0635,Central Berkshire,06350505,Wahconah Regional High,Berkshire,450,450,Yes,0%,Include
0227,Palmer,02270505,Palmer High,Hampden,416,414,Yes,0%,Include
0674,Gill-Montague,06740505,Turners Fall High,Franklin,199,197,Yes,0%,Include
0683,Hampshire,06830505,Hampshire Regional High,Hampshire,718,716,Yes,0%,Include
0715,Mount Greylock,07150505,Mt Greylock Regional High,Berkshire,539,537,Yes,0%,Include
0717,Mohawk Trail,07170505,Mohawk Trail Regional School,Franklin,316,316,Yes,0%,Include
0150,Lee,01500505,Lee Middle/High School,Berkshire,328,327,Yes,0%,Include
0755,Ralph C Mahar,07550505,Ralph C Mahar Regional,Franklin,509,509,Yes,0%,Include
0770,Tantasqua,07700405,Tantasqua Regional Jr High,Worcester,576,576,Yes,0%,Include
0348,Worcester,03480350,Claremont Academy,Worcester,474,473,Yes,0%,Include
0770,Tantasqua,07700605,Tantasqua Regional Vocational,Worcester,542,542,Yes,0%,Include
0778,Quaboag Regional,07780305,Quaboag Regional Middle Innovation School,Worcester,196,196,Yes,0%,Include
0778,Quaboag Regional,07780505,Quaboag Regional High,Worcester,334,334,Yes,0%,Include
0805,Blackstone Valley Regional Vocational Technical,08050605,Blackstone Valley,Worcester,1243,1243,Yes,0%,Include
