School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days,school_year,Chronically Absent (20% or more),ORG_CODE,DISTRICT_NAME,SCHOOL_NAME,COUNTY,School_Total,# of students 7-12th grades,Have Middle or High Schoolers?,% PK - 6th graders,Include in SMITH visualization?
Belchertown-Jabish Middle School,00240025,92.6,13.2,51.3,20.1,29.7,2021-22,4.7,0024,Belchertown,Jabish Middle School,Hampshire,343,343,Yes,0%,Include
Belchertown-Belchertown High,00240505,90.8,16.0,58.9,32.0,32.5,2021-22,9.7,0024,Belchertown,Belchertown High,Hampshire,573,565,Yes,0%,Include
Berkshire Arts and Technology Charter Public (District)-Berkshire Arts and Technology Charter Public School,04140305,89.6,18.2,65.2,36.4,44.3,2021-22,12.1,0414,Berkshire Arts and Technology Charter Public (District),Berkshire Arts and Technology Charter Public School,Berkshire,364,292,Yes,20%,Include
Berkshire Hills-W.E.B. Du Bois Regional Middle School,06180310,92.8,12.5,54.4,23.4,7.7,2021-22,4.1,0618,Berkshire Hills,W.E.B. Du Bois Regional Middle School,Berkshire,326,171,Yes,48%,Include
Berkshire Hills-Monument Mt Regional High,06180505,86.6,22.6,69.8,46.4,48.7,2021-22,19.1,0618,Berkshire Hills,Monument Mt Regional High,Berkshire,431,427,Yes,0%,Include
Berlin-Boylston-Tahanto Regional High,06200505,90.6,16.6,65.1,33.2,11.9,2021-22,8.3,0620,Berlin-Boylston,Tahanto Regional High,Worcester,522,446,Yes,15%,Include
Blackstone Valley Regional Vocational Technical-Blackstone Valley,08050605,94.5,10.3,43.7,12.2,9.1,2021-22,2.3,0805,Blackstone Valley Regional Vocational Technical,Blackstone Valley,Worcester,1243,1243,Yes,0%,Include
Blackstone-Millville-Blackstone Millville RHS,06220505,91.3,15.0,55.3,27.8,22.5,2021-22,9.2,0622,Blackstone-Millville,Blackstone Millville RHS,Worcester,534,531,Yes,0%,Include
Central Berkshire-Wahconah Regional High,06350505,90.6,16.5,59.3,32.0,0.6,2021-22,10.2,0635,Central Berkshire,Wahconah Regional High,Berkshire,450,450,Yes,0%,Include
Central Berkshire-Nessacus Regional Middle School,06350305,92.3,13.3,53.9,23.5,0.0,2021-22,6.8,0635,Central Berkshire,Nessacus Regional Middle School,Berkshire,353,247,Yes,30%,Include
Chicopee-Chicopee Academy,00610021,68.8,47.0,94.0,90.5,86.9,2021-22,77.4,0061,Chicopee,Chicopee Academy,Hampden,92,92,Yes,0%,Include
Chicopee-Chicopee High,00610505,86.8,21.9,73.7,52.8,64.0,2021-22,21.8,0061,Chicopee,Chicopee High,Hampden,918,918,Yes,0%,Include
Chicopee-Chicopee Comprehensive High School,00610510,91.8,14.2,55.2,27.5,34.2,2021-22,8.9,0061,Chicopee,Chicopee Comprehensive High School,Hampden,1192,1192,Yes,0%,Include
Chicopee-Dupont Middle,00610310,88.1,20.0,72.9,48.5,63.3,2021-22,15.7,0061,Chicopee,Dupont Middle,Hampden,683,474,Yes,31%,Include
Chicopee-Bellamy Middle,00610305,90.5,16.1,64.2,36.6,49.5,2021-22,8.9,0061,Chicopee,Bellamy Middle,Hampden,776,533,Yes,31%,Include
Clinton-Clinton Middle School,00640305,91.4,14.6,61.0,29.7,0.0,2021-22,6.2,0064,Clinton,Clinton Middle School,Worcester,573,274,Yes,52%,Include
Clinton-Clinton Senior High,00640505,90.2,16.6,58.7,36.1,0.0,2021-22,12.3,0064,Clinton,Clinton Senior High,Worcester,582,558,Yes,4%,Include
Douglas-Douglas Middle School,00770305,92.5,12.9,53.9,23.2,8.6,2021-22,4.6,0077,Douglas,Douglas Middle School,Worcester,284,193,Yes,32%,Include
Douglas-Douglas High School,00770505,91.9,14.3,57.8,25.0,29.9,2021-22,6.1,0077,Douglas,Douglas High School,Worcester,267,264,Yes,0%,Include
Dudley-Charlton Reg-Shepherd Hill Regional High,06580505,91.4,14.8,58.3,27.3,32.1,2021-22,8.1,0658,Dudley-Charlton Reg,Shepherd Hill Regional High,Worcester,942,938,Yes,0%,Include
Dudley-Charlton Reg-Charlton Middle School,06580310,92.7,13.0,59.5,23.7,29.7,2021-22,3.8,0658,Dudley-Charlton Reg,Charlton Middle School,Worcester,631,316,Yes,50%,Include
Dudley-Charlton Reg-Dudley Middle School,06580305,92.4,13.4,57.7,26.1,28.0,2021-22,4.9,0658,Dudley-Charlton Reg,Dudley Middle School,Worcester,540,285,Yes,47%,Include
East Longmeadow-East Longmeadow High,00870505,93.1,12.4,47.6,21.1,0.0,2021-22,5.5,0087,East Longmeadow,East Longmeadow High,Hampden,753,750,Yes,0%,Include
East Longmeadow-Birchland Park,00870305,94.1,10.5,42.9,14.4,0.0,2021-22,2.3,0087,East Longmeadow,Birchland Park,Hampden,590,403,Yes,32%,Include
Easthampton-Easthampton High,00860505,92.9,12.4,51.0,20.9,6.7,2021-22,6.4,0086,Easthampton,Easthampton High,Hampshire,377,377,Yes,0%,Include
Fitchburg-Fitchburg High,00970505,87.3,21.0,70.5,51.5,48.1,2021-22,19.9,0097,Fitchburg,Fitchburg High,Worcester,1220,1220,Yes,0%,Include
Fitchburg-Goodrich Academy,00970510,92.3,9.5,35.5,28.0,27.5,2021-22,8.5,0097,Fitchburg,Goodrich Academy,Worcester,186,160,Yes,0%,Include
Fitchburg-Memorial Middle School,00970048,89.5,18.0,70.6,44.6,34.6,2021-22,9.3,0097,Fitchburg,Memorial Middle School,Worcester,601,370,Yes,38%,Include
Fitchburg-Arthur M Longsjo Middle School,00970315,87.5,21.5,74.2,51.2,59.4,2021-22,18.0,0097,Fitchburg,Arthur M Longsjo Middle School,Worcester,614,394,Yes,36%,Include
Four Rivers Charter Public (District)-Four Rivers Charter Public School,04130505,86.9,22.7,85.0,48.5,42.7,2021-22,16.7,0413,Four Rivers Charter Public (District),Four Rivers Charter Public School,Franklin,213,213,Yes,0%,Include
Franklin County Regional Vocational Technical-Franklin County Technical,08180605,91.5,14.8,62.8,31.6,33.8,2021-22,6.5,0818,Franklin County Regional Vocational Technical,Franklin County Technical,Franklin,643,643,Yes,0%,Include
Frontier-Frontier Regional,06700505,92.1,13.8,55.8,26.4,24.6,2021-22,7.5,0670,Frontier,Frontier Regional,Franklin,588,582,Yes,0%,Include
Gardner-Gardner High,01030505,90.4,16.6,61.4,38.1,34.4,2021-22,12.1,0103,Gardner,Gardner High,Worcester,808,804,Yes,0%,Include
Gardner-Gardner Academy for Learning and Technology,01030515,88.7,18.1,33.0,30.3,29.4,2021-22,24.8,0103,Gardner,Gardner Academy for Learning and Technology,Worcester,123,123,Yes,0%,Include
Gateway-Gateway Regional High,06720505,90.5,16.2,61.4,34.1,34.1,2021-22,9.7,0672,Gateway,Gateway Regional School,Hampshire,333,272,Yes,18%,Include
Gill-Montague-Turners Fall High,06740505,86.2,23.9,66.1,44.8,50.3,2021-22,23.5,0674,Gill-Montague,Turners Fall High,Franklin,199,197,Yes,0%,Include
Gill-Montague-Great Falls Middle,06740310,88.8,19.2,58.9,33.0,34.5,2021-22,17.3,0674,Gill-Montague,Great Falls Middle,Franklin,228,169,Yes,26%,Include
Grafton-Grafton Middle,01100305,93.7,11.3,45.0,17.6,15.7,2021-22,3.2,0110,Grafton,Grafton Middle,Worcester,478,478,Yes,0%,Include
Grafton-Grafton High School,01100505,91.2,15.1,59.7,30.5,32.6,2021-22,8.2,0110,Grafton,Grafton High School,Worcester,914,899,Yes,0%,Include
Granby-Granby Jr Sr High School,01110505,94.8,9.1,34.5,11.3,14.8,2021-22,2.3,0111,Granby,Granby Jr Sr High School,Hampshire,290,290,Yes,0%,Include
Greater Commonwealth Virtual District-Greater Commonwealth Virtual School,39010900,96.4,5.1,13.6,12.8,2.1,2021-22,4.2,3901,Greater Commonwealth Virtual District,Greater Commonwealth Virtual School,Franklin,1184,864,Yes,27%,Include
Greenfield-Greenfield High,01140505,86.9,22.0,70.4,48.9,58.9,2021-22,21.5,0114,Greenfield,Greenfield High,Franklin,404,394,Yes,0%,Include
Hadley-Hopkins Academy,01170505,94.7,9.3,37.8,12.0,4.6,2021-22,3.3,0117,Hadley,Hopkins Academy,Hampshire,203,203,Yes,0%,Include
Hampden Charter School of Science East (District)-Hampden Charter School of Science East,04990305,92.7,12.8,46.5,21.6,7.2,2021-22,5.5,0499,Hampden Charter School of Science (District),Hampden Charter School of Science,Hampden,938,794,Yes,15%,Include
Hampden-Wilbraham-Wilbraham Middle,06800310,94.0,10.6,41.4,15.8,0.3,2021-22,2.7,0680,Hampden-Wilbraham,Wilbraham Middle,Hampden,613,413,Yes,33%,Include
Hampden-Wilbraham-Minnechaug Regional High,06800505,92.7,12.9,48.0,23.5,44.6,2021-22,6.4,0680,Hampden-Wilbraham,Minnechaug Regional High,Hampden,990,983,Yes,0%,Include
Hampshire-Hampshire Regional High,06830505,93.0,12.4,52.5,23.8,0.0,2021-22,4.8,0683,Hampshire,Hampshire Regional High,Hampshire,718,716,Yes,0%,Include
Harvard-Bromfield,01250505,94.0,10.7,42.0,17.0,3.9,2021-22,2.4,0125,Harvard,The Bromfield High School,Worcester,328,328,Yes,0%,Include
Hatfield-Smith Academy,01270505,93.7,10.9,47.7,18.8,0.0,2021-22,3.4,0127,Hatfield,Smith Academy,Hampshire,109,109,Yes,0%,Include
Holyoke-Lt Clayre Sullivan Elementary,01370055,88.3,20.2,73.9,45.4,48.4,2021-22,16.1,0137,Holyoke,Lt Clayre Sullivan Elementary,Hampden,463,314,Yes,32%,Include
Holyoke-Holyoke STEM Academy,01370320,85.1,25.1,82.4,57.4,57.4,2021-22,23.5,0137,Holyoke,Holyoke STEM Academy,Hampden,289,196,Yes,32%,Include
Holyoke-Holyoke High,01370505,83.0,28.2,77.2,53.8,55.4,2021-22,24.3,0137,Holyoke,Holyoke High,Hampden,1569,1569,Yes,0%,Include
Holyoke-Joseph Metcalf School,01370003,90.3,16.5,67.7,42.1,38.3,2021-22,8.4,0137,Holyoke,Joseph Metcalf School,Hampden,213,140,Yes,34%,Include
Hoosac Valley Regional-Hoosac Valley High School,06030505,89.2,17.8,67.0,41.8,0.0,2021-22,14.1,0603,Hoosac Valley Regional,Hoosac Valley High School,Berkshire,296,296,Yes,0%,Include
Hopedale-Hopedale Jr Sr High,01380505,93.3,11.8,44.9,17.1,22.5,2021-22,4.8,0138,Hopedale,Hopedale Jr Sr High,Worcester,456,453,Yes,0%,Include
Lee-Lee Middle/High School,01500505,91.8,14.3,52.7,25.6,15.7,2021-22,5.4,0150,Lee,Lee Middle/High School,Berkshire,328,327,Yes,0%,Include
Leicester-Leicester High,01510505,90.8,15.9,65.3,32.0,47.0,2021-22,9.4,0151,Leicester,Leicester High,Worcester,388,384,Yes,0%,Include
Leicester-Leicester Middle,01510015,91.4,15.1,65.1,32.1,0.7,2021-22,5.7,0151,Leicester,Leicester Middle,Worcester,394,204,Yes,48%,Include
Lenox-Lenox Memorial High,01520505,94.6,9.5,32.9,15.7,2.8,2021-22,2.1,0152,Lenox,Lenox Memorial High,Berkshire,439,371,Yes,15%,Include
Leominster-Center For Technical Education Innovation,01530605,91.8,14.7,61.9,30.2,41.3,2021-22,6.3,0153,Leominster,Center For Technical Education Innovation,Worcester,821,811,Yes,0%,Include
Leominster-Leominster Center for Excellence,01530515,86.1,23.0,76.7,58.1,67.4,2021-22,27.9,0153,Leominster,Leominster Center for Excellence,Worcester,65,65,Yes,0%,Include
Leominster-Leominster High School,01530505,89.8,17.7,65.5,37.7,47.9,2021-22,12.6,0153,Leominster,Leominster High School,Worcester,1060,1055,Yes,0%,Include
Leominster-Sky View Middle School,01530320,91.4,15.2,60.6,32.9,49.6,2021-22,6.4,0153,Leominster,Sky View Middle School,Worcester,869,565,Yes,35%,Include
Leominster-Samoset School,01530045,92.4,13.5,59.1,25.1,41.7,2021-22,4.9,0153,Leominster,Samoset School,Worcester,495,320,Yes,35%,Include
Libertas Academy Charter School (District)-Libertas Academy Charter School,35140305,93.5,10.7,41.1,17.1,38.6,2021-22,5.7,3514,Libertas Academy Charter School (District),Libertas Academy Charter School,Hampden,563,470,Yes,17%,Include
Longmeadow-Longmeadow High,01590505,94.3,9.9,38.4,16.0,1.3,2021-22,4.3,0159,Longmeadow,Longmeadow High,Hampden,897,897,Yes,0%,Include
Longmeadow-Glenbrook Middle,01590017,94.9,9.0,36.8,10.9,2.1,2021-22,1.8,0159,Longmeadow,Glenbrook Middle,Hampden,327,221,Yes,32%,Include
Longmeadow-Williams Middle,01590305,95.2,8.5,32.8,10.2,0.0,2021-22,0.6,0159,Longmeadow,Williams Middle,Hampden,337,219,Yes,35%,Include
Ludlow-Paul R Baird Middle,01610305,92.4,13.6,58.5,25.5,32.8,2021-22,5.6,0161,Ludlow,Paul R Baird Middle,Hampden,513,362,Yes,29%,Include
Ludlow-Ludlow Senior High,01610505,92.6,13.1,54.9,22.7,19.9,2021-22,5.2,0161,Ludlow,Ludlow Senior High,Hampden,736,732,Yes,0%,Include
Lunenburg-Lunenburg High,01620505,92.8,12.5,51.9,22.0,11.4,2021-22,5.0,0162,Lunenburg,Lunenburg High,Worcester,452,452,Yes,0%,Include
Lunenburg-Lunenburg Middle School,01620305,93.7,11.2,47.7,18.9,7.4,2021-22,2.2,0162,Lunenburg,Lunenburg Middle School,Worcester,382,229,Yes,40%,Include
Ma Academy for Math and Science-Ma Academy for Math and Science School,04680505,99.6,0.7,0.0,0.0,0.0,2021-22,0.0,0468,Ma Academy for Math and Science,Ma Academy for Math and Science School,Worcester,99,99,Yes,0%,Include
Mendon-Upton-Nipmuc Regional High,07100510,92.5,13.0,52.2,25.9,0.0,2021-22,5.8,0710,Mendon-Upton,Nipmuc Regional High,Worcester,534,528,Yes,0%,Include
Mendon-Upton-Miscoe Hill School,07100015,94.3,10.1,42.9,13.7,0.0,2021-22,1.3,0710,Mendon-Upton,Miscoe Hill School,Worcester,647,306,Yes,53%,Include
Milford-Milford High,01850505,88.6,18.8,58.2,37.8,36.2,2021-22,18.1,0185,Milford,Milford High,Worcester,1316,1316,Yes,0%,Include
Milford-Stacy Middle,01850305,91.9,13.7,53.0,27.1,39.4,2021-22,8.1,0185,Milford,Stacy Middle,Worcester,989,664,Yes,33%,Include
Millbury-Millbury Junior/Senior High,01860505,91.4,15.2,57.2,27.6,31.5,2021-22,9.1,0186,Millbury,Millbury Junior/Senior High,Worcester,722,717,Yes,0%,Include
Mohawk Trail-Mohawk Trail Regional School,07170505,90.3,16.6,62.3,32.2,34.8,2021-22,9.1,0717,Mohawk Trail,Mohawk Trail Regional School,Franklin,316,316,Yes,0%,Include
Monson-Monson High School,01910505,92.8,12.4,45.9,22.1,26.3,2021-22,4.5,0191,Monson,Monson High School,Hampden,280,273,Yes,0%,Include
Montachusett Regional Vocational Technical-Montachusett Regional Vocational Technical,08320605,93.4,11.4,48.3,19.5,14.9,2021-22,3.7,0832,Montachusett Regional Vocational Technical,Montachusett Regional Vocational Technical,Worcester,1417,1417,Yes,0%,Include
Mount Greylock-Mt Greylock Regional High,07150505,93.3,11.7,45.8,17.9,11.8,2021-22,5.0,0715,Mount Greylock,Mt Greylock Regional High,Berkshire,539,537,Yes,0%,Include
Narragansett-Narragansett Regional High,07200505,91.3,15.0,62.2,29.7,28.3,2021-22,8.1,0720,Narragansett,Narragansett Regional High,Worcester,492,489,Yes,0%,Include
Nashoba-Luther Burbank Middle School,07250305,94.0,10.6,43.9,16.1,0.0,2021-22,3.5,0725,Nashoba,Luther Burbank Middle School,Worcester,245,173,Yes,29%,Include
Nashoba-Nashoba Regional,07250505,91.2,15.6,56.6,27.7,8.6,2021-22,8.5,0725,Nashoba,Nashoba Regional,Worcester,806,799,Yes,0%,Include
Nashoba-Hale,07250310,95.0,8.8,37.1,8.8,0.0,2021-22,1.1,0725,Nashoba,Hale,Worcester,247,154,Yes,38%,Include
North Adams-Drury High,02090505,84.4,26.2,76.9,53.7,71.1,2021-22,28.9,0209,North Adams,Drury High,Berkshire,438,432,Yes,0%,Include
North Brookfield-North Brookfield High,02150505,91.2,14.7,51.4,26.8,51.4,2021-22,10.4,0215,North Brookfield,North Brookfield High,Worcester,157,123,Yes,22%,Include
Northampton-Northampton High,02100505,91.8,14.4,51.0,21.3,29.5,2021-22,7.4,0210,Northampton,Northampton High,Hampshire,875,869,Yes,0%,Include
Northampton-John F Kennedy Middle School,02100410,92.2,13.7,54.3,26.7,39.4,2021-22,6.6,0210,Northampton,John F Kennedy Middle School,Hampshire,577,400,Yes,31%,Include
Northampton-Smith Vocational Agricultural-Smith Vocational and Agricultural High,04060705,91.8,14.4,54.2,24.2,29.1,2021-22,8.3,0406,Northampton-Smith Vocational Agricultural,Smith Vocational and Agricultural High,Hampshire,587,587,Yes,0%,Include
Northboro-Southboro-Algonquin Regional High,07300505,93.3,11.8,44.2,21.4,8.7,2021-22,5.0,0730,Northboro-Southboro,Algonquin Regional High,Worcester,1197,1181,Yes,0%,Include
Northborough-Robert E. Melican Middle School,02130305,93.8,10.9,46.2,17.3,0.0,2021-22,2.4,0213,Northborough,Robert E. Melican Middle School,Worcester,545,360,Yes,34%,Include
Northbridge-Northbridge Middle,02140305,91.7,14.5,52.7,29.2,30.0,2021-22,6.9,0214,Northbridge,Northbridge Middle,Worcester,394,274,Yes,30%,Include
Northbridge-Northbridge High,02140505,89.9,17.0,59.2,35.6,41.1,2021-22,13.3,0214,Northbridge,Northbridge High,Worcester,471,467,Yes,0%,Include
Northern Berkshire Regional Vocational Technical-Charles McCann Vocational Technical,08510605,91.1,15.8,66.5,32.8,49.4,2021-22,6.6,0851,Northern Berkshire Regional Vocational Technical,Charles McCann Vocational Technical,Berkshire,514,514,Yes,0%,Include
Oxford-Oxford Middle,02260405,90.7,16.5,73.9,34.1,1.2,2021-22,4.8,0226,Oxford,Oxford Middle,Worcester,385,251,Yes,35%,Include
Oxford-Oxford High,02260505,88.2,20.1,63.7,39.0,4.5,2021-22,16.5,0226,Oxford,Oxford High,Worcester,453,405,Yes,10%,Include
Palmer-Palmer High,02270505,91.2,14.8,53.7,29.3,35.2,2021-22,9.9,0227,Palmer,Palmer High,Hampden,416,414,Yes,0%,Include
Pathfinder Regional Vocational Technical-Pathfinder Vocational Technical,08600605,91.8,14.3,57.1,27.4,23.6,2021-22,7.9,0860,Pathfinder Regional Vocational Technical,Pathfinder Vocational Technical,Hampden,660,660,Yes,0%,Include
Phoenix Academy Public Charter High School Springfield (District)-Phoenix Academy Public Charter High School Springfield,35080505,34.3,81.1,97.0,98.7,0.9,2021-22,94.0,3508,"Phoenix Academy Public Charter High School, Springfield (District)","Phoenix Academy Public Charter High School, Springfield",Hampden,158,158,Yes,0%,Include
Pioneer Valley-Pioneer Valley Regional,07500505,92.7,12.6,42.3,18.0,17.3,2021-22,7.7,0750,Pioneer Valley,Pioneer Valley Regional,Franklin,239,236,Yes,0%,Include
Pioneer Valley Chinese Immersion Charter (District)-Pioneer Valley Chinese Immersion Charter School,04970205,93.7,10.9,41.8,20.1,0.7,2021-22,5.3,0497,Pioneer Valley Chinese Immersion Charter (District),Pioneer Valley Chinese Immersion Charter School,Hampshire,584,255,Yes,56%,Include
Pioneer Valley Performing Arts Charter Public (District)-Pioneer Valley Performing Arts Charter Public School,04790505,89.3,18.0,69.6,41.8,2.7,2021-22,12.8,0479,Pioneer Valley Performing Arts Charter Public (District),Pioneer Valley Performing Arts Charter Public School,Hampshire,397,397,Yes,0%,Include
Pittsfield-Eagle Education Academy,02360525,72.5,43.7,75.0,66.7,41.7,2021-22,54.2,0236,Pittsfield,Eagle Education Academy,Berkshire,24,20,Yes,17%,Include
Pittsfield-John T Reid Middle,02360305,88.3,20.1,62.7,42.7,4.7,2021-22,18.5,0236,Pittsfield,John T Reid Middle,Berkshire,407,300,Yes,26%,Include
Pittsfield-Theodore Herberg Middle,02360310,91.8,14.4,54.7,31.3,2.9,2021-22,7.5,0236,Pittsfield,Theodore Herberg Middle,Berkshire,587,400,Yes,32%,Include
Pittsfield-Pittsfield High,02360505,82.8,29.7,70.6,52.3,14.3,2021-22,28.8,0236,Pittsfield,Pittsfield High,Berkshire,727,712,Yes,0%,Include
Pittsfield-Taconic High,02360510,87.7,21.5,64.8,42.6,8.7,2021-22,19.4,0236,Pittsfield,Taconic High,Berkshire,824,824,Yes,0%,Include
Quabbin-Quabbin Regional High School,07530505,88.6,19.3,65.5,39.9,40.9,2021-22,14.9,0753,Quabbin,Quabbin Regional High School,Worcester,545,542,Yes,0%,Include
Quabbin-Quabbin Regional Middle School,07530405,91.1,15.7,62.2,29.5,39.0,2021-22,9.2,0753,Quabbin,Quabbin Regional Middle School,Worcester,510,346,Yes,32%,Include
Quaboag Regional-Quaboag Regional High,07780505,89.4,18.5,74.4,43.1,45.4,2021-22,11.2,0778,Quaboag Regional,Quaboag Regional High,Worcester,334,334,Yes,0%,Include
Quaboag Regional-Quaboag Regional Middle Innovation School,07780305,91.3,15.4,64.2,35.3,34.3,2021-22,5.9,0778,Quaboag Regional,Quaboag Regional Middle Innovation School,Worcester,196,196,Yes,0%,Include
Ralph C Mahar-Ralph C Mahar Regional,07550505,91.4,14.7,50.1,27.7,2.3,2021-22,10.6,0755,Ralph C Mahar,Ralph C Mahar Regional,Franklin,509,509,Yes,0%,Include
Shrewsbury-Shrewsbury High School,02710505,93.4,11.2,40.7,17.5,0.0,2021-22,5.1,0271,Shrewsbury,Shrewsbury High School,Worcester,1891,1869,Yes,0%,Include
Shrewsbury-Oak Middle School,02710030,94.5,9.8,38.5,13.1,0.0,2021-22,2.4,0271,Shrewsbury,Oak Middle School,Worcester,914,914,Yes,0%,Include
Sizer School: A North Central Charter Essential (District)-Sizer School: A North Central Charter Essential School,04740505,89.5,17.7,69.1,43.5,21.5,2021-22,11.6,0474,Sizer School: A North Central Charter Essential (District),Sizer School: A North Central Charter Essential School,Worcester,282,282,Yes,0%,Include
South Hadley-South Hadley High,02780505,88.9,19.6,53.1,39.4,0.0,2021-22,21.4,0278,South Hadley,South Hadley High,Hampshire,479,475,Yes,0%,Include
South Hadley-Michael E. Smith Middle School,02780305,89.9,17.7,69.7,38.3,13.1,2021-22,9.9,0278,South Hadley,Michael E. Smith Middle School,Hampshire,505,244,Yes,52%,Include
Southborough-P Brent Trottier,02760305,95.2,8.6,35.3,8.8,0.0,2021-22,0.5,0276,Southborough,P Brent Trottier,Worcester,404,274,Yes,32%,Include
Southbridge-Southbridge Middle School,02770315,89.0,18.4,74.5,41.8,56.8,2021-22,12.0,0277,Southbridge,Southbridge Middle School,Worcester,380,276,Yes,27%,Include
Southbridge-Southbridge High School,02770515,84.6,28.9,81.9,56.9,71.5,2021-22,27.6,0277,Southbridge,Southbridge High School,Worcester,419,419,Yes,0%,Include
Southbridge-Southbridge Academy,02770525,75.5,38.9,90.0,75.0,57.5,2021-22,47.5,0277,Southbridge,Southbridge Academy,Worcester,21,21,Yes,0%,Include
Southern Berkshire-Mt Everett Regional,07650505,90.7,16.1,64.2,34.2,33.5,2021-22,9.4,0765,Southern Berkshire,Mt Everett Regional,Berkshire,278,236,Yes,15%,Include
Southern Worcester County Regional Vocational School District-Bay Path Regional Vocational Technical High School,08760605,92.8,12.6,51.5,23.0,31.4,2021-22,4.0,0876,Southern Worcester County Regional Vocational School District,Bay Path Regional Vocational Technical High School,Worcester,1188,1188,Yes,0%,Include
Southwick-Tolland-Granville Regional School District-Southwick Regional School,07660505,93.1,12.2,52.6,20.0,31.5,2021-22,4.4,0766,Southwick-Tolland-Granville Regional School District,Southwick Regional School,Hampden,588,587,Yes,0%,Include
Spencer-E Brookfield-David Prouty High,07670505,83.5,27.3,76.0,56.6,52.6,2021-22,26.3,0767,Spencer-E Brookfield,David Prouty High,Worcester,306,299,Yes,0%,Include
Spencer-E Brookfield-Knox Trail Middle School,07670415,91.9,13.9,51.2,25.8,0.0,2021-22,9.7,0767,Spencer-E Brookfield,Knox Trail Middle School,Worcester,415,223,Yes,46%,Include
Springfield-Gateway to College at Holyoke Community College,02810575,80.7,29.7,63.9,58.3,63.9,2021-22,36.1,0281,Springfield,Gateway to College at Holyoke Community College,Hampden,21,21,Yes,0%,Include
Springfield-Gateway to College at Springfield Technical Community College,02810580,89.8,13.1,60.0,43.3,46.7,2021-22,10.0,0281,Springfield,Gateway to College at Springfield Technical Community College,Hampden,25,25,Yes,0%,Include
Springfield-Roger L. Putnam Vocational Technical Academy,02810620,91.2,15.6,58.5,32.0,30.7,2021-22,9.2,0281,Springfield,Roger L. Putnam Vocational Technical Academy,Hampden,1382,1382,Yes,0%,Include
Springfield-Springfield International Academy at Sci-Tech,02810700,95.2,6.6,23.1,13.0,19.4,2021-22,1.9,0281,Springfield,Springfield International Academy at Sci-Tech,Hampden,95,95,Yes,0%,Include
Springfield-The Springfield Virtual School,02810705,92.2,13.5,43.6,22.9,38.3,2021-22,9.8,0281,Springfield,The Springfield Virtual School,Hampden,250,185,Yes,26%,Include
Springfield-The Springfield Renaissance School an Expeditionary Learning School,02810205,90.3,17.1,65.4,37.3,35.3,2021-22,11.3,0281,Springfield,The Springfield Renaissance School an Expeditionary Learning School,Hampden,593,497,Yes,16%,Include
Springfield-Kiley Prep,02810315,88.7,18.6,73.5,49.7,20.4,2021-22,16.6,0281,Springfield,Kiley Prep,Hampden,298,191,Yes,36%,Include
Springfield-Kiley Academy,02810316,89.3,18.5,66.8,44.1,35.1,2021-22,11.4,0281,Springfield,Kiley Academy,Hampden,268,179,Yes,33%,Include
Springfield-Lyceum Academy,02810317,86.1,24.3,82.4,54.2,49.0,2021-22,19.8,0281,Springfield,Springfield Legacy Academy,Hampden,299,238,Yes,20%,Include
Springfield-Emergence Academy,02810318,93.7,8.1,36.0,15.7,30.3,2021-22,4.5,0281,Springfield,Emergence Academy,Hampden,382,338,Yes,12%,Include
Springfield-John J Duggan Middle,02810320,93.4,11.3,41.3,22.5,23.9,2021-22,5.5,0281,Springfield,John J Duggan Academy,Hampden,823,652,Yes,21%,Include
Springfield-Forest Park Middle,02810325,86.5,22.5,71.5,48.5,28.5,2021-22,22.8,0281,Springfield,Forest Park Middle,Hampden,282,182,Yes,35%,Include
Springfield-John F Kennedy Middle,02810328,83.4,28.0,84.1,63.4,74.1,2021-22,32.5,0281,Springfield,John F Kennedy Middle,Hampden,366,224,Yes,39%,Include
Springfield-Springfield Realization Academy,02810335,90.6,16.7,63.4,26.8,38.0,2021-22,9.9,0281,Springfield,Springfield Realization Academy,Hampden,212,148,Yes,30%,Include
Springfield-Springfield Public Day Middle School,02810345,79.0,36.3,85.0,72.5,65.0,2021-22,45.0,0281,Springfield,Springfield Public Day Middle School,Hampden,60,46,Yes,23%,Include
Springfield-STEM Middle Academy,02810350,94.4,9.8,44.0,17.2,11.7,2021-22,1.5,0281,Springfield,STEM Middle Academy,Hampden,269,178,Yes,34%,Include
Springfield-South End Middle School,02810355,82.2,29.7,88.2,69.5,61.8,2021-22,37.7,0281,Springfield,South End Middle School,Hampden,163,114,Yes,30%,Include
Springfield-Springfield Middle School,02810360,71.6,43.7,88.9,88.9,77.8,2021-22,50.0,0281,Springfield,Springfield Middle School,Hampden,18,17,Yes,6%,Include
Springfield-Impact Prep at Chestnut,02810366,87.2,21.5,74.7,53.9,47.9,2021-22,17.5,0281,Springfield,Impact Prep at Chestnut,Hampden,278,143,Yes,49%,Include
Springfield-Chestnut Accelerated Middle School (Talented and Gifted),02810367,93.6,11.4,47.2,22.8,30.7,2021-22,4.1,0281,Springfield,Chestnut Accelerated Middle School (Talented and Gifted),Hampden,265,172,Yes,35%,Include
Springfield-Conservatory of the Arts,02810475,86.7,23.4,81.4,55.4,48.7,2021-22,17.6,0281,Springfield,Conservatory of the Arts,Hampden,296,248,Yes,16%,Include
