School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days,school_year,Chronically Absent (20% or more),ORG_CODE,DISTRICT_NAME,SCHOOL_NAME,COUNTY,School_Total,# of students 7-12th grades,Have Middle or High Schoolers?,% PK - 6th graders,Include in SMITH visualization?
West Springfield-West Springfield High,03320505,94.5,5.9,17.9,16.0,0.2,2019-20,NA,0332,West Springfield,West Springfield High,Hampden,1231,1221,Yes,0%,Include
Westborough-Sarah W Gibbons Middle,03210305,96.6,3.7,8.2,5.8,0.3,2019-20,NA,0321,Westborough,Sarah W Gibbons Middle,Worcester,610,610,Yes,0%,Include
Westborough-Westborough High,03210505,95.5,4.9,13.7,8.8,1.0,2019-20,NA,0321,Westborough,Westborough High,Worcester,1213,1204,Yes,0%,Include
Westfield-Westfield High,03250505,93.0,7.5,22.6,19.5,11.0,2019-20,NA,0325,Westfield,Westfield High,Hampden,1034,1020,Yes,0%,Include
Westfield-Westfield Middle School,03250310,94.1,6.4,20.6,18.1,11.7,2019-20,NA,0325,Westfield,Westfield Middle School,Hampden,671,671,Yes,0%,Include
Westfield-Westfield Technical Academy,03250605,94.7,5.8,16.2,13.4,5.1,2019-20,NA,0325,Westfield,Westfield Technical Academy,Hampden,557,557,Yes,0%,Include
Winchendon-Murdock Middle School,03430315,94.7,5.5,15.6,13.7,10.4,2019-20,NA,0343,Winchendon,Murdock Middle School,Worcester,281,191,Yes,32%,Include
Winchendon-Murdock High School,03430515,92.0,8.2,28.2,25.2,19.5,2019-20,NA,0343,Winchendon,Murdock High School,Worcester,256,253,Yes,0%,Include
Worcester-University Pk Campus School,03480285,96.2,4.2,11.4,9.8,7.7,2019-20,NA,0348,Worcester,University Pk Campus School,Worcester,233,233,Yes,0%,Include
Worcester-Claremont Academy,03480350,92.1,8.4,26.5,24.2,20.3,2019-20,NA,0348,Worcester,Claremont Academy,Worcester,474,473,Yes,0%,Include
Worcester-Burncoat Middle School,03480405,94.8,5.6,15.7,13.3,13.8,2019-20,NA,0348,Worcester,Burncoat Middle School,Worcester,720,720,Yes,0%,Include
Worcester-Forest Grove Middle,03480415,95.3,5.1,15.6,13.5,11.4,2019-20,NA,0348,Worcester,Forest Grove Middle,Worcester,839,839,Yes,0%,Include
Worcester-Worcester East Middle,03480420,94.3,6.0,20.4,17.6,14.4,2019-20,NA,0348,Worcester,Worcester East Middle,Worcester,731,731,Yes,0%,Include
Worcester-Sullivan Middle,03480423,94.9,5.4,16.8,15.9,13.9,2019-20,NA,0348,Worcester,Sullivan Middle,Worcester,940,892,Yes,5%,Include
Worcester-Burncoat Senior High,03480503,90.5,10.1,33.0,30.5,29.6,2019-20,NA,0348,Worcester,Burncoat Senior High,Worcester,1073,1050,Yes,0%,Include
Worcester-Doherty Memorial High,03480512,92.3,8.3,27.2,25.0,21.0,2019-20,NA,0348,Worcester,Doherty Memorial High,Worcester,1573,1565,Yes,0%,Include
